VEHICLE NO,PLACE,ENTRY TYPE,STATE,VEHICLE TYPE,DONATION,DATE & TIME
DL6SL0600,PLACE 2,One Way,STATE VEHICLE,Light Vehicle,YES,Sunday-22-September-2019 00:29:36
12345,PLACE 2,Round Trip,OUTER STATE VEHICLE,Heavy Vehicle,YES,Sunday-22-September-2019 00:29:36
"MOUTHWAS""

leSTERINE
O R I G I N AL
w PREVENT sun M

WE BREATH ANDPLA",PLACE 1,Round Trip,OUTER STATE VEHICLE,Heavy Vehicle,YES,Sunday-22-September-2019 04:10:31
MOUTHWASH,PLACE 1,Round Trip,STATE VEHICLE,Heavy Vehicle,YES,Sunday-22-September-2019 04:14:05
"' a:hovés s 3% GER?“ '1
ROM WE WﬂOLE MOUTH

uoumwuu I '

LISTERINE

ORIGINAL

YawHELP PREVENT GUM PROBLEMS.
MD BREATH AND PLAQUE .",PLACE 1,,,,NO,Sunday-22-September-2019 04:16:37
"' a:hovés s 3% GER?“ '1
ROM WE WﬂOLE MOUTH

uoumwuu I '

LISTERINE

ORIGINAL

YawHELP PREVENT GUM PROBLEMS.
MD BREATH AND PLAQUE .",PLACE 1,Round Trip,OUTER STATE VEHICLE,,YES,Sunday-22-September-2019 04:16:37
"' a:hovés s 3% GER?“ '1
ROM WE WﬂOLE MOUTH

uoumwuu I '

LISTERINE

ORIGINAL

YawHELP PREVENT GUM PROBLEMS.
MD BREATH AND PLAQUE .",PLACE 1,,,,NO,Sunday-22-September-2019 04:24:03
,PLACE 1,,,,NO,Sunday-22-September-2019 04:24:03
,PLACE 1,,,,NO,Sunday-22-September-2019 04:24:03
,PLACE 1,,,,NO,Sunday-22-September-2019 04:24:03
,PLACE 1,,,,NO,Sunday-22-September-2019 04:24:03
,PLACE 1,,,,NO,Sunday-22-September-2019 04:24:03
,PLACE 1,,,,NO,Sunday-22-September-2019 04:24:03
,PLACE 1,,,,NO,Sunday-22-September-2019 04:24:03
,PLACE 1,,,,NO,Sunday-22-September-2019 04:24:03
,PLACE 1,,,,NO,Sunday-22-September-2019 04:24:03
,PLACE 1,,,,NO,Sunday-22-September-2019 04:24:03
fdhdghds,PLACE 2,One Way,STATE VEHICLE,Heavy Vehicle,NO,Sunday-22-September-2019 04:30:52
,PLACE 2,One Way,STATE VEHICLE,Heavy Vehicle,NO,Sunday-22-September-2019 04:30:52
fgfjr,PLACE 2,Round Trip,OUTER STATE VEHICLE,Heavy Vehicle,YES,Sunday-22-September-2019 04:34:29
,PLACE 2,Round Trip,OUTER STATE VEHICLE,Heavy Vehicle,YES,Sunday-22-September-2019 04:34:29
,PLACE 2,Round Trip,OUTER STATE VEHICLE,Heavy Vehicle,YES,Sunday-22-September-2019 04:34:29
,PLACE 2,Round Trip,OUTER STATE VEHICLE,Heavy Vehicle,YES,Sunday-22-September-2019 04:34:29
,PLACE 2,Round Trip,OUTER STATE VEHICLE,Heavy Vehicle,YES,Sunday-22-September-2019 04:34:29
,PLACE 2,Round Trip,OUTER STATE VEHICLE,Heavy Vehicle,YES,Sunday-22-September-2019 04:34:29
,PLACE 2,Round Trip,OUTER STATE VEHICLE,Heavy Vehicle,YES,Sunday-22-September-2019 04:34:29
,PLACE 2,Round Trip,OUTER STATE VEHICLE,Heavy Vehicle,YES,Sunday-22-September-2019 04:34:29
,PLACE 2,Round Trip,OUTER STATE VEHICLE,Heavy Vehicle,YES,Sunday-22-September-2019 04:34:29
,PLACE 2,Round Trip,OUTER STATE VEHICLE,Heavy Vehicle,YES,Sunday-22-September-2019 04:34:29
,PLACE 2,Round Trip,OUTER STATE VEHICLE,Light Vehicle,NO,Sunday-22-September-2019 04:34:29
,PLACE 2,Round Trip,OUTER STATE VEHICLE,Light Vehicle,NO,Sunday-22-September-2019 04:34:29
,PLACE 2,Round Trip,OUTER STATE VEHICLE,Light Vehicle,NO,Sunday-22-September-2019 04:34:29
,PLACE 2,Round Trip,OUTER STATE VEHICLE,Light Vehicle,NO,Sunday-22-September-2019 04:34:29
"MOUTHWASH

LISTERINE

ORIGINAL",PLACE 2,One Way,OUTER STATE VEHICLE,Heavy Vehicle,YES,Sunday-22-September-2019 05:14:13
"........

    
    
   
    

 
 

MOUTHWASH

LISTERINE
. ORIGINAL ..

V
ro HELP pnevam GUM mounds.
A BAD BREATH AND pumue",PLACE 2,One Way,STATE VEHICLE,Heavy Vehicle,YES,Sunday-22-September-2019 10:00:35
,PLACE 2,One Way,STATE VEHICLE,Heavy Vehicle,YES,Sunday-22-September-2019 10:00:35
